jail, holiday, vase, cherries, exchange, frogs, waves, girl, cent, bomb, houses, garden, grain, mother, push, fire
0, 1, b, 1, 1, 0, 0, 0, 3, bike, 0, 2.614488, 0.006742, 0, 4.494546, 7669c4d027ecfbd0
1, 4075, #, 20912009054, 0, 1, 0, 1, 9, lock, -11, 295.429596, 0.000000, 1, 124.813678, 9bb710fe7ade265f
1, 0, =, 16832743151640154553, 0, 0, 1, 1, 59918, pull, 81, -374.838593, -0.011352, 0, 1.000000, ffffffffffffc91c
1, 1793321645, 7, 11511162999768601475, 1, 0, 1, 0, 32681, thunder, 2, -0.000053, -30.792232, 1, 3.871367, ffffffffffcca000
1, -31706424, ), 7008, 0, 1, 1, 1, 1, birth, 104, -400.812805, 17.189211, 1, -0.000007, a0ebc8ce3a3a6d15
0, -1, x, 292874997642, 0, 0, 0, 1, 0, sleet, 6, 0.051314, 20.190929, 0, 1.264242, fffffffd84f30003
0, 2070254237, x, 1808314, 1, 1, 0, 1, 0, lizards, 1, 347.171234, 0.000000, 0, 0.005241, fffffffd84f30003
1, 0, ^, 5158328, 0, 0, 1, 0, 822, police, -4, 505.428345, -0.000159, 1, 117.868905, ffffffffff6a0432
1, -235, T, 28120236590953, 0, 0, 1, 0, 0, sea, 0, 0.000000, 25.792546, 0, 73.483989, 625fdfd4a671eb08
0, -2117324582, z, 0, 0, 1, 0, 0, 4071, aunt, -1, 1.000000, -25.245544, 1, 0.000000, 0
1, 1838, +, 0, 1, 1, 0, 0, 62, beef, 92, 0.000000, 0.005871, 1, -1.405370, 16f3de6f470e5
1, -1259764984, ), 1384808134, 0, 1, 1, 1, 38940, birth, 104, 0.038604, 1.000000, 1, 0.000000, 6ce0c35d20bbdbbd
1, 49, =, 2335824422838, 1, 1, 0, 0, 44527, birds, -90, 0.001477, 0.000009, 0, -84.555851, 1
0, 1931400789, =, 17240704404037987920, 0, 1, 1, 1, 1094, writing, -76, -0.327501, 0.000009, 0, -80.948330, 0
