jail, holiday, vase, cherries, exchange, frogs, waves, girl, cent, bomb, houses, garden, grain, mother, push, fire
1, -243901256, L, 7350574049, 1, 0, 1, 0, 1162, , 48, -481.988251, -0.000510, 0, 0.000002, 1
0, -835141, H, 1, 1, 0, 1, 1, 15739, cord, 56, 0.732965, 16.135362, 1, 9.173890, 6cedcb7806cf5da2
1, 99377, y, 16, 0, 0, 0, 0, 238, heat, 1, 0.429955, 0.492277, 1, 0.000911, 3c01ca73a0c47b
0, 599330992, *, 11551973682618806748, 1, 1, 0, 0, 440, opinion, -53, -0.617605, 0.000329, 1, 0.005987, 4a990d77a893488b
0, 3121408, 5, 1585, 1, 1, 0, 1, 0, , 26, 0.003710, 0.000056, 0, 0.229939, f42844b106a98228
1, -8, 7, 42072, 0, 0, 0, 1, 3168, flame, -2, -0.003172, -0.000002, 0, -0.000000, a87daa94d2e3f3e6
0, -1558773041, b, 509308796152913, 1, 0, 0, 1, 844, pot, 1, -0.000000, -0.000033, 1, 1.261924, fffffceb5f22830b
1, -1805461163, E, 579507418004218003, 1, 0, 0, 0, 5, horse, -2, -0.000001, -0.103845, 1, -0.000001, 44efd
1, -893617, ~, 340168648540, 1, 1, 0, 0, 51873, birds, 0, -1.192528, 1.000000, 1, 1.000000, fffff1811a900c26
0, 2085714998, b, 27621067897, 1, 0, 0, 1, 45015, pot, 24, 430.204895, 0.000000, 1, 6.356935, fffffceb5f22830b
1, 4747987, 7, 22, 0, 1, 0, 0, 1, comfort, -2, -0.073469, -0.000002, 0, 0.000001, fffffff7d0e418ca
1, -625106, L, 260952143, 1, 1, 0, 0, 12535, run, 4, 0.000179, 16.135362, 0, 0.000002, 1b09567629639fa
1, -1331637954, b, 509308796152913, 1, 1, 0, 0, 844, pot, 24, 0.000002, -0.005685, 1, -83.831461, fffffceb5f22830b
1, 2108065226, v, 3511754156080, 1, 1, 1, 0, 1741, lizards, 9, 1.000000, -0.176001, 1, -71.742948, fffffffffc5ecced
1, 61048, l, 1946823934, 0, 1, 1, 0, 20, move, 0, -0.005356, -14.723533, 0, -123.979512, 345a456c8e28c
1, -34345082, V, 2393433455, 1, 1, 0, 0, 12535, comfort, -1, 0.186830, -0.000159, 0, 0.000000, 5dd35bfaef36ca78
0, -625106, L, 2393433455, 1, 1, 0, 1, 12535, run, 29, 0.000006, -0.000510, 1, 0.000002, 1b09567629639fa
0, 599330992, *, 65696, 1, 1, 0, 1, 440, cactus, -53, 0.019855, 0.000329, 1, 0.005987, 4a990d77a893488b
1, -49334, H, 1, 0, 1, 0, 1, 37, , -1, -0.011876, -30.759741, 1, -0.000151, 33041a2
0, 599330992, *, 0, 0, 1, 0, 0, 2057, comfort, -53, -0.073469, -22.146874, 0, 0.005987, fffffff7d0e418ca
0, -1, 5, 9613954702270398459, 1, 0, 1, 0, 0, gate, 26, -0.000013, -0.000750, 0, -0.189476, f42844b106a98228
0, -2, i, 17709146154630, 0, 0, 0, 0, 0, pot, 89, -0.000001, 0.000028, 1, 0.000000, 0
1, 2108065226, v, 2768, 1, 1, 1, 1, 1741, lizards, -7, -34.681618, -0.176001, 1, -71.742948, fffffffffc5ecced
0, -181738, i, 6345172981727307, 0, 0, 1, 0, 0, heart, 0, -0.005356, 0.000000, 0, 0.000003, 345a456c8e28c
1, 4747987, 7, 22, 0, 1, 0, 0, 5, join, -2, 2.463000, 1.000000, 0, 0.000000, 44efd
0, -1805461163, E, 30, 0, 0, 0, 0, 6782, horse, -2, -0.000003, -0.103845, 1, -7.422508, fffffffffffffc9d
1, -1805461163, E, 15613561, 0, 0, 0, 0, 9415, toe, 0, -0.000003, 19.744947, 1, 2.682010, fffffffffffffc9d
1, -243901256, L, 260952143, 0, 1, 1, 0, 104, cheese, -7, -481.988251, -0.000510, 0, 0.000002, 1b09567629639fa
1, 16987828, 5, 0, 1, 0, 1, 0, 2057, gate, 0, 0.000448, 0.000011, 1, 122.405569, fffffff7d0e418ca
1, -893617, y, 11529360, 1, 0, 0, 1, 0, trick, 66, -304.750244, 0.000000, 1, -0.240159, fffff1811a900c26
1, 0, w, 2768, 1, 1, 1, 0, 0, milk, 0, -34.681618, -0.000166, 1, -71.742948, 7bfd
0, -835141, H, 1, 1, 0, 1, 1, 15739, cord, 56, 0.732965, 0.000000, 1, 0.001376, 6cedcb7806cf5da2
0, 1, V, 7350574049, 1, 0, 0, 1, 1162, lunch, -121, 0.466257, 0.001889, 1, 0.000000, 1
1, -49, E, 16725151, 1, 1, 1, 1, 4, lock, 20, -401.486938, 0.000001, 1, 0.000136, 2cb5fbb7
1, 2108065226, v, 15294057490000484797, 1, 1, 1, 1, 1741, lizards, -7, 0.000050, -0.176001, 1, -0.001526, fffffffffc5ecced
0, -177138, V, 4, 0, 1, 0, 0, 1, lunch, -121, 0.000478, -0.003344, 1, 0.000001, fffffffe586a23a4
1, 2005125102, 7, 42072, 0, 1, 0, 0, 3168, join, -98, -0.000001, -2.358856, 1, 121.424546, a87daa94d2e3f3e6
0, -2, i, 1946823934, 1, 0, 0, 0, 0, heart, 2, 0.000011, -21.077193, 1, 0.000000, ffffffff9a36f693
1, -893617, y, 11529360, 1, 1, 0, 1, 0, trick, 66, 0.429955, 0.000000, 1, 1.000000, afec58cf498c93c4
1, 0, b, 509308796152913, 1, 1, 0, 0, 844, pot, -1, 0.000002, -0.000159, 1, 0.080653, fffffceb5f22830b
1, -49, E, 16725151, 1, 1, 1, 0, 186, toe, 20, 105.993866, 0.000001, 1, 0.000136, 2cb5fbb7
